long,latt
-115.31397,36.10032
-115.140985,36.114816
-115.325266,36.218666
-115.20736,35.997637
-115.243961,36.15877
-115.137099,36.101067
-115.080246,36.157463
-115.25986,36.19006
-115.205827,36.194768
-115.062393,36.195631
-115.207934,36.14976
-115.143857,36.170738
-115.119725,36.276183
-115.154721,36.144257
-115.279725,36.203209
-115.120187,36.099935
-115.196665,36.20055
-115.175464,36.14382
-115.118627,36.143786
-115.279114,36.143036
-115.162593,36.136154
-115.106691,36.173755
-115.190312,36.132864
-115.105835,36.129888
-115.168149,36.127659
-115.212477,36.217188
-115.065143,36.131099
-115.314995,36.128446
-115.101346,36.099834
-115.171883,36.120814
-115.15673,36.013238
-115.13732,36.125667
-115.170072,36.115969
-115.095422,36.11547
-115.188264,36.101127
-115.176424,36.104582
-115.172599,36.102368
-115.17268,36.102217
-115.155573,36.101144
-115.088378,36.195551
-115.196319,36.038051
-115.183144,36.116164
-115.172576,36.089927
-115.279686,36.116744
-115.085486,36.131924
-115.083928,36.173647
-115.203217,36.101057
-115.152106,36.107699
-115.137434,36.107621
-115.203085,36.115298
-115.244591,36.300561
-115.152442,36.042491
-115.207169,36.2616
-115.206532,36.130053
-115.206009,36.03354
-115.067231,36.158808
-115.065996,36.114484
-115.064083,36.240251
-115.210604,36.239006
-115.064041,36.144221
-115.063879,36.112671
-115.297196,36.095117
-115.256954,36.264005
-115.05006,36.159261
-115.315718,36.080267
-115.139339,36.168778
-115.149439,36.057225
-115.24212,36.179411
-115.225084,36.114276
-115.226083,36.099742
-115.225339,36.159414
-115.242815,36.076512
-115.263505,36.27915
-115.206954,36.275021
-115.101019,36.071847
-115.032859,36.08459
-115.030222,36.195886
-115.297961,36.06949
-115.23934,36.217831
-115.287662,36.283984
-115.242236,36.125857
-115.118682,36.06557
-115.244323,36.099839
-115.249731,36.240323
-115.315187,36.291538
-115.242876,36.055332
-115.225186,36.054899
-115.206164,36.164582
-115.279387,36.05274
-115.156255,36.164673
-115.172194,36.051248
-115.261859,36.218411
-115.265616,36.143998
-115.186856,36.044238
-115.270099,36.05556
-115.172244,36.041153
-115.118118,36.040895
-115.177964,36.180042
-115.280005,36.2994
-115.280169,36.100227
-115.136024,36.030173
-115.293785,36.144078
-115.296625,36.218777
-115.270421,36.019366
-115.295796,36.115067
-115.136966,36.010726
-115.149138,36.085525
-115.14632,36.171509
-115.177543,36.285721
-115.118477,36.217623
-115.116133,36.240032
-115.109291,36.208134
-115.179368,36.239639
-115.182013,36.261711
-115.192755,36.199879
-115.097349,36.239588
-115.15487,36.260302
-115.179646,36.275264
